Sentence #	Word	NPOS	Tag	
Sentence: 1	rt	JJ	O
	@dmpharmresearch	NN	O
	:	:	O
	@nejm	NN	O
	publishes	NNS	O
	exciting	VBG	O
	phiii	JJ	O
	trial	NN	O
	results	NNS	O
	for	IN	O
	#eliquis	NNP	O
	(apixaban)	NNP	O
	suggesting	VBG	O
	a	DT	O
	hopeful	JJ	O
	alternative	NN	O
	for	IN	O
	vte	NN	O
	#isth20�	NN	O
	0	0	O
Sentence: 2	get	VB	O
	some	DT	O
	abreva	NN	O
	and	CC	O
	rub	VB	O
	it	PRP	O
	on	IN	O
	your	PRP$	O
	cock	NN	O
	b4	NN	O
	u	NN	O
	use	IN	O
	it	PRP	O
	next	JJ	O
	.	.	O
	or	CC	O
	take	VB	O
	some	DT	O
	avelox	NN	O
	.	.	O
	0	0	O
Sentence: 3	#download	NN	O
	avelox	SYM	O
	-	:	O
	a	DT	O
	medical	JJ	O
	dictionary	NN	O
	,	,	O
	bibliography	NN	O
	,	,	O
	and	CC	O
	annotated	VBD	O
	research	NN	O
	guide	NN	O
	to	TO	O
	internet	VB	O
	references	NNS	O
	-	:	O
	icon	NN	O
	health..	NN	O
	.	.	O
	@workshopguides	NNS	O
	0	0	O
Sentence: 4	@misterak47	JJ	O
	@cbs	NN	O
	i	NN	O
	don't	VBP	O
	know	VB	O
	what	WP	O
	that	WDT	O
	has	VBZ	O
	to	TO	O
	do	VB	O
	w/	VB	O
	me	PRP	O
	.	.	O
	avelox	NN	O
	has	VBZ	O
	hurt	VBN	O
	my	PRP$	O
	connective	JJ	B-ADR
	tissue	NN	I-ADR
	,	,	O
	lungs	NNS	B-ADR
	and	CC	O
	thyroid	NN	B-ADR
	.	.	O
	i	JJ	O
	guess	NN	O
	i	NN	O
	should	MD	O
	feel	VB	O
	lucky	JJ	O
	0	0	O
Sentence: 5	i	NN	O
	am	VBP	O
	never	RB	O
	taking	VBG	O
	baclofen	NN	O
	and	CC	O
	norflex	VBP	O
	the	DT	O
	same	JJ	O
	day	NN	O
	again	RB	O
	.	.	O
	first	JJ	O
	i	NN	O
	felt	VBD	O
	super	JJ	O
	drowsy	NN	B-ADR
	but	CC	O
	now	RB	O
	i	JJ	O
	feel	VBP	O
	extremely	RB	O
	high	JJ	B-ADR
	and	CC	O
	it's	JJ	O
	freaking	VBG	O
	me	PRP	O
	out	IN	O
	.	.	O
	0	0	O
Sentence: 6	baclofen	NN	O
	gives	VBZ	O
	me	PRP	O
	a	DT	O
	head	JJ	O
	high	JJ	B-ADR
	but	CC	O
	it	PRP	O
	makes	VBZ	O
	me	PRP	O
	feel	VB	B-ADR
	like	IN	I-ADR
	throwing	VBG	I-ADR
	up	RP	I-ADR
	after	IN	O
	.	.	O
	ugh	JJ	O
	.	.	O
	#thestruggle	NN	O
	0	0	O
Sentence: 7	@shiftms	JJ	O
	@positiveaboutms	NNP	O
	question	NN	O
	about	IN	O
	sleeping	VBG	O
	probs	NN	O
	at	IN	O
	night	NN	O
	.	.	O
	anyone	NN	O
	else	RB	O
	encountering	VBG	O
	this	DT	O
	?	.	O
	baclofen	NN	O
	perhaps	RB	O
	?	.	O
	cheers	NNS	O
	x	VBP	O
	0	0	O
Sentence: 8	@rogerrdharris	JJ	O
	@rfdsdoc	NNP	O
	@toxtalk	NNP	O
	@poisonreview	NNP	O
	cause	NN	O
	here	RB	O
	is	VBZ	O
	baclofen	JJ	O
	toxicity(mostly)not	JJ	O
	bd.no	NN	O
	plausible	JJ	O
	cause	NN	O
	but	CC	O
	testing	NN	O
	was	VBD	O
	done	VBN	O
	,	,	O
	caveat	NN	O
	0	0	O
Sentence: 9	the	DT	O
	cipro	NN	O
	in	IN	O
	you	PRP	O
	eyes	VBP	O
	burns	NNS	B-ADR
	but	CC	O
	works	VBZ	O
	its	PRP$	O
	buffered	JJ	O
	for	IN	O
	your	PRP$	O
	ears	NNS	O
	seems	VBZ	O
	stupid	JJ	O
	but	CC	O
	if	IN	O
	they	PRP	O
	take	VBP	O
	your	PRP$	O
	life	NN	O
	take	VB	O
	it	PRP	O
	back	RP	O
	0	0	O
Sentence: 10	got	VBD	O
	a	DT	O
	script	NN	O
	of	IN	O
	cipro	NN	O
	for	IN	O
	a	DT	O
	uti	NN	O
	for	IN	O
	#motherday	NN	O
	.	.	O
	lol	NN	O
	,	,	O
	thank	NN	O
	god	NN	O
	for	IN	O
	walk	NN	O
	in	IN	O
	clinics	NNS	O
	.	.	O
	0	0	O
Sentence: 11	the	DT	O
	pathway	NN	O
	of	IN	O
	cipro	NN	O
	is	VBZ	O
	definitely	RB	O
	murdering	VBG	B-ADR
	my	PRP$	I-ADR
	mind	NN	I-ADR
	right	RB	O
	now	RB	O
	?	.	O
	#donedonedone	NN	O
	0	0	O
